ordem,timecode,tipo,asset,url,uso,direitos_status,narracao_exata_tts,transicao,efeito_sonoro,musica_db,ritmo,funcao,instrucao_tts,observacao
11,00:20-00:22,LITO_VIDEO,Lito — apelo às instituições,https://www.uol.com.br/splash/noticias/2026/08/23/influenciador-lito-souza-pede-para-entrar-em-tratamento-experimental.amp.htm,Trecho do pedido por tratamento experimental.,FONTE EDITORIAL/REDE SOCIAL — verificar autorização,Porque uma doença grave não traz só o tratamento.,Punch-in 105%,Low boom,-20 dB,NORMAL,URGÊNCIA,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
12,00:22-00:24,LITO_IMAGE,Lito / Aviões e Músicas — imagem editorial,https://www.estadao.com.br/economia/sua-carreira/avioes-musicas-lito-sousa-canal-youtube-aviacao-historia-profissional/,Voltar à imagem dele em atividade para lembrar quem ele é além da doença.,FONTE EDITORIAL — direitos da imagem,Porque uma doença grave não traz só o tratamento.,Parallax leve,Soft whoosh,-20 dB,NORMAL,HUMANIZAÇÃO,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
13,00:24-00:26,LITO_VIDEO,Lito — conteúdo de aviação / vida profissional,https://www.estadao.com.br/economia/sua-carreira/avioes-musicas-lito-sousa-canal-youtube-aviacao-historia-profissional/,"Se disponível no artigo, usar B-roll/arquivo dele no escritório; caso contrário, usar a foto.",FONTE EDITORIAL,Pode trazer afastamento do trabalho.,Match cut,Air whoosh,-18 dB,RÁPIDA,VIDA NORMAL,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
14,00:26-00:28,LITO_VIDEO,Lito — rotina de criação,https://www.tribunadosertao.com.br/geral/2026/08/03/952406-lito-sousa-detalha-diagnostico-de-cancer-de-prostata-e-internacao-por-inflamacao-cerebral,Priorizar imagens dele trabalhando/escrevendo ou falando antes da piora.,FONTE ORIGINAL PREFERENCIAL,Pode mudar toda a rotina da família.,Speed ramp 90→105%,Keyboard click,-17 dB,NORMAL,ROTINA,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
15,00:28-00:30,LITO_IMAGE,Lito em seu ambiente de aviação,https://www.reportermt.com/papo-reto/lito-sousa-do-canal-avioes-e-musica-revela-cancer-de-prostata/240533,Plano limpo do Lito para introduzir a pergunta financeira.,FONTE EDITORIAL — direitos da imagem,Pode mudar toda a rotina da família.,Slow zoom,Music dip,-17 dB,NORMAL,PERGUNTA,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
16,00:30-00:32,EDITORIAL,Lito + manchete sobre diagnóstico,https://www.uol.com.br/splash/noticias/2026/08/24/eu-queria-construir-navios-como-lito-sousa-se-especializou-em-avioes.ghtm,Montagem rápida de headline + imagem de Lito.,FONTE EDITORIAL — usar apenas conforme licença,"Pode exigir cuidador, adaptações e muito mais.",Whip transition,Whoosh,-19 dB,RÁPIDA,CONTEXTO,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
17,00:32-00:34,EDITORIAL,Lito + home care,https://www.cnnbrasil.com.br/saude/lito-sousa-como-e-o-tratamento-home-care-da-doenca-de-creutzfeldt-jakob/,"Usar imagem editorial de Mila/Lito ou home care, se disponível.",FONTE EDITORIAL — direitos da imagem,E é justamente aí que entra a proteção financeira.,Dissolve,Room tone,-18 dB,IMPACTO,CUSTOS,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
18,00:34-00:36,EDITORIAL,Lito + família / cuidados,https://www1.folha.uol.com.br/equilibrioesaude/2026/08/tenho-duas-opcoes-velar-o-meu-marido-ou-lutar-por-ele-decidi-lutar-diz-mila-seidl-esposa-de-lito-sousa.shtml,Momento para falar de cuidador e estrutura familiar.,FONTE EDITORIAL — direitos da imagem,E é justamente aí que entra a proteção financeira.,Slow push,Heartbeat low,-18 dB,IMPACTO,FAMÍLIA,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
19,00:36-00:38,EDITORIAL,Lito + estudo experimental PRiSM,https://www.uol.com.br/vivabem/noticias/redacao/2026/08/24/o-que-se-sabe-do-estudo-de-harvard-sobre-a-doenca-de-lito-sousa.ghtm,Usar gráfico/manchete sobre estudo para representar necessidade de recursos.,FONTE EDITORIAL,"A cobertura de doenças graves pode pagar uma indenização em vida, conforme o contrato.",Digital zoom,Tech hit,-20 dB,NORMAL,TRATAMENTO,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
20,00:38-00:40,EDITORIAL,Lito + evolução rápida da doença,https://www1.folha.uol.com.br/equilibrioesaude/2026/08/lito-faz-apelo-em-video-nas-redes-sociais-para-ter-acesso-a-tratamento-experimental.shtml,"Headline/recorte para reforçar urgência, sem sensacionalismo.",FONTE EDITORIAL,"A cobertura de doenças graves pode pagar uma indenização em vida, conforme o contrato.",Cut,Bass hit,-20 dB,NORMAL,URGÊNCIA,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
21,00:40-00:42,LITO_VIDEO,Primeiro vídeo do canal após diagnóstico,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2026/08/24/como-foi-o-primeiro-video-do-canal-de-lito-sousa-depois-do-diagnostico-de-doenca-rara.amp.htm,Usar trecho do canal sendo mantido pelos amigos; conecta doença com impacto profissional.,FONTE EDITORIAL/YouTube — verificar autorização,Um recurso para ajudar você a reorganizar a vida.,Match cut,Keyboard + click,-16 dB,LENTA,IMPACTO FINANCEIRO,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
22,00:42-00:44,LITO_IMAGE,Lito — retrato de alta qualidade,https://www.estadao.com.br/economia/sua-carreira/avioes-musicas-lito-sousa-canal-youtube-aviacao-historia-profissional/,Imagem emocional antes da frase 'não existe só o custo do tratamento'.,FONTE EDITORIAL — direitos da imagem,Quando sua prioridade deveria ser cuidar da saúde.,Ken Burns,Music drop,-18 dB,LENTA,EMOÇÃO,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
23,00:44-00:46,LITO_VIDEO,Lito — fala sobre momento físico e emocional,https://www.uol.com.br/splash/noticias/2026/07/17/lito-sousa-revela-diagnostico-de-cancer-de-prostata-e-fala-sobre-tratamento.ghtm,Trecho em que fala dos meses desafiadores.,FONTE EDITORIAL/REDE SOCIAL — verificar autorização,Quando sua prioridade deveria ser cuidar da saúde.,Corte seco,Soft impact,-18 dB,LENTA,VULNERABILIDADE,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
24,00:46-00:48,LITO_VIDEO,Lito — metáfora da turbulência,https://www.terra.com.br/vida-e-estilo/saude/lito-sousa-especialista-de-aviacao-revela-diagnostico-de-cancer-de-prostata%2C2e40c904621cb80043a27be8d849583c013s57za.html,"Trecho da fala sobre turbulência, excelente ponte narrativa para seguro.",FONTE EDITORIAL/REDE SOCIAL — verificar autorização,Não descobrir como pagar as contas.,Speed ramp leve,Airplane whoosh,-24 dB,IMPACTO,METÁFORA,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
25,00:48-00:50,STOCK,Família em casa,https://www.pexels.com/search/videos/family%20at%20home/,Único momento em que entra stock claramente: representar o que queremos proteger.,STOCK — licença Pexels,Ninguém escolhe quando uma doença grave vai aparecer.,Cross dissolve,Warm chime,-22 dB,LENTA,FAMÍLIA,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
26,00:50-00:52,STOCK,Família / cuidado,https://www.pexels.com/search/videos/family%20love/,"Plano de abraço, curto e natural.",STOCK — licença Pexels,Ninguém escolhe quando uma doença grave vai aparecer.,Cut on beat,Soft hit,-22 dB,LENTA,PROTEÇÃO,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
27,00:52-00:54,EDITORIAL,Lito — home care,https://www.cnnbrasil.com.br/saude/lito-sousa-como-e-o-tratamento-home-care-da-doenca-de-creutzfeldt-jakob/,Retorno ao caso real para explicar que doença grave altera toda a estrutura da vida.,FONTE EDITORIAL — direitos da imagem,Mas você pode escolher estar financeiramente preparado para ela.,Slow push,Low boom,-15 dB,IMPACTO,REALIDADE,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
28,00:54-00:56,LITO_VIDEO,Lito — apelo final / hospital,https://www.uol.com.br/splash/noticias/2026/08/23/influenciador-lito-souza-pede-para-entrar-em-tratamento-experimental.amp.htm,Último uso do material real do Lito; cortar antes de ficar excessivamente dramático.,FONTE EDITORIAL/REDE SOCIAL — verificar autorização,Mas você pode escolher estar financeiramente preparado para ela.,Fade through black,Silence + heartbeat,-15 dB,IMPACTO,CLÍMAX,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
29,00:54-00:56,STOCK,Família / cotidiano,https://www.pexels.com/search/videos/family/,Plano positivo para representar proteção e continuidade.,STOCK — licença Pexels,Mas você pode escolher estar financeiramente preparado para ela.,Dissolve,Warm riser,-15 dB,IMPACTO,ESPERANÇA,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
30,00:58-01:00,LITO_IMAGE,Lito — retrato final,https://www.estadao.com.br/economia/sua-carreira/avioes-musicas-lito-sousa-canal-youtube-aviacao-historia-profissional/,"Retomar o Lito em imagem digna, não hospitalar.",FONTE EDITORIAL — direitos da imagem,Seguro de vida não é esperar o pior.,Slow zoom out,Music swell,-13 dB,NORMAL,MENSAGEM,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
31,00:58-01:00,STOCK,Família em casa / proteção,https://www.pexels.com/search/videos/family%20home/,Background discreto atrás do texto final.,STOCK — licença Pexels,Seguro de vida não é esperar o pior.,Fade,Soft chime,-13 dB,NORMAL,CTA,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
32,01:03-01:06,GRAPHIC,Tela final — Seguro de Vida + Doenças Graves,SEM DOWNLOAD — criar no editor,Tipografia + identidade da S&S; sem stock.,ASSET PRÓPRIO,É proteger o que importa enquanto você ainda pode cuidar de tudo.,Fade to dark,Final resolve,-10 dB,LENTA,CTA,Português do Brasil; natural; sem ler pontuação; reticências=pausa curta; não acelerar.,"Se houver fala original do Lito, usar J-cut/L-cut para preservar autenticidade."
